CORSO DI STUDI,PAROLE CHIAVE - IT
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,aree in disuso; uso temporaneo; interventi leggeri; riappropriazione territoriale
ARCHITETTURA,informal regeneration; moving landscape; recovering landscape; recoding landscape; reclaming landscape; refounding landscape; channeling landscape; equipping the informal quarter
ARCHITETTURA,shrinking city; growth; population loss; demographical changes; interventions; abandoned buildings; administration; partecipation; suburbanization; gentrification; Montevideo; urban structure changes
ARCHITETTURA,cancer care center; hybrid architecture; urban agriculture; healthcare; color therapy
ARCHITETTURA,abuse construction; Amalfi coast; landscape; compensation; redefinition; evaluation; intervention; territory
ARCHITETTURA,productive urban landscape; artisan; co-working kitchen; residence; office; vegetable garden; dismissed industry; reorganization; Kyiv; Ukraine
ARCHITETTURA,Istanbul; serraglio; sirkeci; intersection; public space
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,urban waterways; civic engagement; water governance
ARCHITETTURA,architecture; art; landscape; renovation; Portogruaro
ARCHITETTURA,alpine environment; reorganization of municipalities; intercomunality on small towns; local urban policy
ARCHITETTURA,Lomellina; farmhouses; landscape; energy; biogas
ARCHITETTURA,social housing; Paris; Villette; Stalingrad; angle building; housing; atelier; duplex; concrete; one material; alignment; context
ARCHITETTURA,flood adaptive; risk resilient; proactive planning and architecture
ARCHITETTURA,India; health care; architecture
ARCHITETTURA,stadium; multipurpose stadium; covered market; Cremona city hub
ARCHITETTURA,light; lighting; lighting masterplan; public lighting; lighting design
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,waterfront; branding; riverfront; Danube region strategy; Budapest; downtown
ARCHITETTURA,sport; socializing; training; flexibility; landscape; Lecco
ARCHITETTURA,church; San Zaccaria; restoration; Romanesque architecture; polychromy; analysis mensiocronologica
ARCHITETTURA,earthquake; prevention
ARCHITETTURA,territory; rural development; cooperation; planning; participation
ARCHITETTURA,museum; Milan; amphitheatre
ARCHITETTURA,school campus; Diano Marina
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,Palazzo Paolini; San Pio di Fontecchio; L'Aquila; preservation; recovery; refurbishment; re-establishment; historic villages; revitalize
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,historical center
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,multiple centrality assessment; network analyst; usability; accessibility; services
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,participation of children and youth; children and youth councils; spatial planning; children and youth representatives in Taipei city; Taiwan
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,squatters; slums; segregation; Turkey
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,GIS; spatial analysis; spatial statistics; social networks; network analysis; urban planning; spatial planning; geocomputing; mobile data; user generated data; UGD; mobile sensors; geostatistics; Big Data; death of distance; cities; planning
ARCHITETTURA,alpine refuge
ARCHITETTURA,Milan; pavilion; Expo 2015; serraglio; bazaar; Sabaat; food; energy
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,regional planning; polycentricity; mega-city region
ARCHITETTURA,variant Rho-Monza; Baranzate; park city
ARCHITETTURA,city users; Milan; Forlanini park; sociology; city of future
ARCHITETTURA,transformation; activities; infrastructure
INGEGNERIA MECCANICA,stainless steel; centrifugal casting; dendrite; dendrite arm spacing
INGEGNERIA INFORMATICA,coding; trasmission; descriptors; sift; brisk
INGEGNERIA MECCANICA,quenching; vegetable oils; residual stresses; distortions; C-ring
INGEGNERIA DEI SISTEMI EDILIZI,M+; museum
INGEGNERIA MECCANICA,continuous improvement; lean implementation in ETO; engineer to order; project manufacturing
INGEGNERIA EDILE - ARCHITETTURA,Rovello; Porro; link; railway; agricultural; consortium; underpass; FNM
INGEGNERIA MECCANICA,crankshaft; engine; dynamics; simulation; Modelica; FEM; Dymola; Abaqus
ARCHITETTURA,Roma; neighborhood out of the Roman walls; San Lorenzo; Tiburtina street; Verano; ancient Roman Age; 1800's expansion; 1943's bombing of Rome; redevelopment; innovative and playful spaces; color; creative place; artists
INGEGNERIA MECCANICA,WC/C coating; PVD; Al7075 T6; mechanical strength; corrosion; fracture toughness
INGEGNERIA GESTIONALE,batch machine; production line; performance evaluation; decomposition
INGEGNERIA INFORMATICA,storytelling; fairytales; stories; autism; asd; children; kinect; communication; socialization; motion; activities; interaction; HHCI
INGEGNERIA DEI SISTEMI EDILIZI,residential; housing; timber structure; sustainability
INGEGNERIA EDILE - ARCHITETTURA,white swan; dry stratified technology; grp; solar optimization; solar access; photovoltaic; architecture; mediatheque; library; energy certification; passive strategies; active strategies; technical services; geothermal; energy; Milano; Brera; Compasso Volante; Smart; multifunctional building; nearly zero energy; sustainability; urban center; cisbat; three dimensional structure; me library; via palermo; digital library; future; diva; 3ds max; rhinoceros; grasshopper; ecotect; render; daysim; illustrator; greenhouse; botanic; solar gain; shape
INGEGNERIA MECCANICA,thermal fatigue; thermal stresses; testing machine; temperature; development
INGEGNERIA MECCANICA,smart machine tools; state estimation; monitoring; machining process; cutting force; Kalman filter; spindle integrated displacement sensor; feed drive; productivity
INGEGNERIA MECCANICA,mechanical design; natural frequencies; spectrometer; majis; juice; OSR; emissivity
INGEGNERIA MECCANICA,compression after impact; sandwich panels; Nomex honeycomb core; experimental tests; micromechanical finite element model; analytical model
INGEGNERIA MECCANICA,rotary; vane; micro; pump; Mars; dust analyzer
INGEGNERIA EDILE - ARCHITETTURA,urban park; glass structures; built urban landscape; integrated design; building citadel; school building
INGEGNERIA GESTIONALE,product development; supplier involvement
INGEGNERIA GESTIONALE,innovation; B2c e-commerce; semantic web; crowdsourcing; B2c e-commerce success; value framework
ARCHITETTURA,architecture; history; museum; poetry; art; exposition; Japan; philosophy; tradition; fable; metaphor; light; design
INGEGNERIA MECCANICA,metal foams; energy absorption; damping capacity; fatigue behaviour; machine tools; helicopters; dynamical analysis; three points bending tests; acoustic emission
INGEGNERIA MECCANICA,POM; creep models; KRH-model; temperature sensitivity; self heating effect; fuel dependence
INGEGNERIA ENERGETICA,anaerobic digestion; pretreatment; alkaline; thermal; enzymatic; biogas; digestate; separato solido
INGEGNERIA INFORMATICA,gamification; architectures; designing; application; web; webratio
INGEGNERIA GESTIONALE,supply chain management; transportation; financial crisis; logistics
INGEGNERIA GESTIONALE,deep offshore oil and gas; shale oil and gas; forging
ARCHITETTURA,zero energy homes
INGEGNERIA GESTIONALE,servitization; lifecycle; middle of life; MoL; superyacht; customer care; maintenance; quality rating; logbook
INGEGNERIA EDILE - ARCHITETTURA,manufacture; office; sustanaible environment
INGEGNERIA EDILE - ARCHITETTURA,Brera; BIM; aerogel; S/R technology; energy efficient buildings; aerogel panel; thermal conuctivity; residential; fiber cement
INGEGNERIA GESTIONALE,aid for trade; capacity; effectiveness; infrastructure; commitment; policy; mechanism
INGEGNERIA MECCANICA,metal foam; sintering & dissolution; catalytic application; heat exchange; production process
INGEGNERIA GESTIONALE,control charts; quality control; quality policies; production logistics; performance measures; economical design
ARCHITETTURA,cladding; recladding; technology; smart
ARCHITETTURA,seismic upgrading
INGEGNERIA INFORMATICA,Android; video entryphone; domotic; Sip; openwebnet
INGEGNERIA ENERGETICA,wind turbines; diagnostics; maintenance; condition baszed maintenance; signal processing
INGEGNERIA INFORMATICA,GNSS; tropospheric zenith delays; meteorological applications
INGEGNERIA GESTIONALE,mobile telecommunications; mobile operator revenue; mobile services; USA; Europe; telecom market analysis; Telco financial analysis
INGEGNERIA GESTIONALE,co-opetition; open innovation; business strategy
ARCHITETTURA,complexity; order; disorder; chaos
INGEGNERIA MECCANICA,rolling element bearings; acquisition system; diagnostic; prognostic; Kurtosis; square envelope spectrum; statistic thresholds; E464 locomotive
INGEGNERIA ENERGETICA,metal foam; metal chips; space holder; sintering and dissolution; catalytic applications; open cell foam
ARCHITETTURA,landscape; serraglio
ARCHITETTURA,Conte Bonoris; rural landscape; accessibility
CIVIL ENGINEERING FOR RISK MITIGATION,fabric reinforced cementitious matrix (FRCM); masonry; in-plane loading;  retrofitting; repair
INGEGNERIA EDILE - ARCHITETTURA,refurbishment; restoration; Monza; Caserma San Paolo
ARCHITETTURA,natural shopping center; Mirandola; new pole of attraction; Emilia earthquake
INGEGNERIA GESTIONALE,multichannel marketing strategy; contingent variables; multichannel performance measurement; motivations for multichannel strategy adoption
INGEGNERIA MECCANICA,duplex stainless steel; heat treatment; microstructure
INGEGNERIA INFORMATICA,line array; acoustic simulation; sound field prediction
CIVIL ENGINEERING FOR RISK MITIGATION,risk; damage assessment; vulnerability; risk management; mitigation measures; flood phenomena
ENVIRONMENTAL AND GEOMATIC ENGINEERING,deforestation; trend detection; precipitation; remote sensing; landsat
INGEGNERIA CIVILE,finite element analysis of concrete materials; HPFRCC retrofitiing; coupling beams
INGEGNERIA ENERGETICA,renewable energy soruces; photovoltaic plants; wind plants; energy imbalance; unbalance remuneration mechanisms; Italy; Germany; Spain
INGEGNERIA MECCANICA,procurement planning; production planning; make to order (MTO); make to stock (MTS)
INGEGNERIA EDILE - ARCHITETTURA,education; research; school; high; fibre; reinforced; area of urban transformation; urban
INGEGNERIA MECCANICA,parallel robots; dynamic analysis; Hexaglide
INGEGNERIA EDILE - ARCHITETTURA,school; technology; structure; equipment; specifications; performance; costs; times
INGEGNERIA GESTIONALE,key risk indicator; KRI; risk indicator; key risk; KRI identification; risk identification; risk metric; key indicator; risk measurement; risk measure; KRI definition; risk indicator definition; risk assessment; risk analysis; risk management; enterprise risk management; ERM; ERM tools; ERM metrics; risk monitoring; managerial risk; indicators management; risk tools; KRI application; risk indicator application; KRI usage; KRI classification; KRI characteristics; key risks characteristics; risk indicators characteristics
INGEGNERIA ENERGETICA,aluminizing; nickel; superalloy; diffusion model; oxidation
INGEGNERIA INFORMATICA,indoor navigation; navigation assistant; android application; pedometer; step detection; fall detection; stride length; sensor fusion; smartphone; heading
INGEGNERIA DEI SISTEMI EDILIZI,urban design; water sensitive design; eco-friendly development; energy saving; tall buildings; sustainability
INGEGNERIA INFORMATICA,crowdsourcing; crowdsearcher; control mart; active rule; automatic statistics analysis
INGEGNERIA ENERGETICA,creep; creep fatigue; ageing process; Al-Cu alloys
INGEGNERIA ENERGETICA,waste to energy; hot corrosion; temperature profile; boiler; finite volume method; natural circulation
INGEGNERIA INFORMATICA,Cloud computing; model driven engineering; optimization; performance of IT systems
INGEGNERIA ENERGETICA,geothermal energy; emissions; methane abatement
INGEGNERIA GESTIONALE,social media; sentiment analysis; Web 2.0; Web analytics; Web marketing
INGEGNERIA GESTIONALE,food quality; expected quality; prepackaged food labels; quality measurement system; choice based conjoint analysis
INGEGNERIA EDILE - ARCHITETTURA,re-cladding; CittÃ  Studi; sustainable campus; Politecnico of Milan; building shadows study; perforated sheet
INGEGNERIA MECCANICA,weldline; short glass fiber; composite material; fiber orientation
INGEGNERIA GESTIONALE,key performance indicators; performance management
INGEGNERIA INFORMATICA,bandwith allocation; resource allocation; integer programming; linear programming; telecommunication traffic; max-min fairness
INGEGNERIA GESTIONALE,spending review; public engagement; social media
INGEGNERIA ENERGETICA,photovoltaics plants; renewable energy sources; ancillary services; innovative model
INGEGNERIA INFORMATICA,acoustic imaging; beamforming; room acoustics; microphone array
INGEGNERIA INFORMATICA,clustering; parsing; Markov chains; analysis; ImproVisor; RoadMap; harmony; jazz; music; patterns; licks; Android application; Cloud oriented
INGEGNERIA MECCANICA,tower crane jib; speed control; tower elasticity
INGEGNERIA GESTIONALE,residential real estate market; macro control of center committee; price of immobile; immigration; policy; investment; factors
ARCHITETTURA,maso
INGEGNERIA INFORMATICA,game with a purpose; lidked Data; Dbpedia; Wikipedia; Von Ahn; Gwap
ARCHITETTURA,St. Giorgio; park along the walls and the strong of Verona
INGEGNERIA MECCANICA,planetary gears; gears; ISO 6336; electric motors for monobrushes; KISSsoft program; VDI 2545
INGEGNERIA MECCANICA,comfort; passive suspension; optimization
INGEGNERIA MECCANICA,carbon fiber; shaft; roller; bearing; optimization; FEM analysis
ARCHITETTURA,heartquake; council union; public service; public space; bikeway
ARCHITETTURA,multimedia library; Porto Catena; limit; metaphor; Mantua
INGEGNERIA MECCANICA,instrumented wheelset; contact force measurement; calibration matrix; wheel web method
INGEGNERIA GESTIONALE,enterprise 2.0; management control systems; social networks; social technologies; social media
ARCHITETTURA,symbol; media library; culture; Port Catena; book
INGEGNERIA GESTIONALE,strategy; strategic vision; strategy roadmap; decision making processes; strategic findings; automotive aftermarket; market analysis; comparative analysis
CIVIL ENGINEERING FOR RISK MITIGATION,knowledge; management; information; emergency; data
INGEGNERIA GESTIONALE,reputation; drivers; sustainability; reports; oil and gas companies
ARCHITETTURA,earthquake; churches; damages
INGEGNERIA GESTIONALE,maintenance; production; integration; small medium enterprise; SME; exploratory case
ARCHITETTURA,infra-space; landscape decay; third landscape
ENVIRONMENTAL AND GEOMATIC ENGINEERING,waste water treatment; plant energy evaluation
ARCHITETTURA,color project; color
ARCHITETTURA,Andalusia; Morocco
INGEGNERIA MECCANICA,smart mobility; electric mobility; sustainable mobility; plug-in vehicles
INGEGNERIA GESTIONALE,business plan
INGEGNERIA GESTIONALE,eCommerce; electronic payments; traditional and innovative payments; customer profile
INGEGNERIA INFORMATICA,SEPA; payment services; transaction; banks; Europe payment system; salary management payment system; AIC acquirer
